name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
SeaSonic SS-600ES,100.0,ATX,0.8723404255319148,0.21621621621621623,0.0,Gray,bronze,False,600
FSP Group FSP300-60LG-5K,153.74,Flex ATX,0.8723404255319148,0.05405405405405406,0.0,,bronze,False,300
Corsair CX-600 V3,,ATX,0.8723404255319148,0.21621621621621623,0.0,,bronze,False,600
Deepcool DQ550ST,,ATX,0.925531914893617,0.1891891891891892,0.0,,gold,False,550
Silverstone Strider,,ATX,0.925531914893617,0.35135135135135137,1.0,,gold,Full,850
be quiet! POWER 2,,SFX,0.8723404255319148,0.05405405405405406,0.0,,bronze,False,300
Ultra X4,,ATX,0.9042553191489362,0.35135135135135137,1.0,,silver,Full,850
Cougar POWERX,,ATX,0.8723404255319148,0.2702702702702703,0.0,,bronze,False,700
Silverstone Strider,,ATX,0.8723404255319148,0.10810810810810811,0.0,,bronze,False,400
be quiet! Pure Power 10,,ATX,0.8723404255319148,0.05405405405405406,0.0,,bronze,False,300
OCZ ZT,,ATX,0.8723404255319148,0.1891891891891892,1.0,,bronze,Full,550
Thermaltake Toughpower Grand,,ATX,0.9574468085106382,0.21621621621621623,0.6000000000000001,,platinum,Semi,600
Thermaltake Toughpower Grand,,ATX,0.9574468085106382,0.2702702702702703,0.6000000000000001,,platinum,Semi,700
SeaSonic M12II,,ATX,0.8723404255319148,0.24324324324324326,0.6000000000000001,,bronze,Semi,650
Cougar SL400,,ATX,0.0,0.10810810810810811,0.0,,white,False,400
Antec NeoECO,,ATX,0.8723404255319148,0.17297297297297298,0.0,,bronze,False,520
HEC ZEPHY580MX,,ATX,0.0,0.20540540540540542,0.0,,white,False,580
Cooler Master eXtreme Power,,ATX,0.0,0.1891891891891892,0.0,,white,False,550
Raidmax RX-450K,,ATX,0.0,0.13513513513513514,0.0,,white,False,450
Rosewill Green,,ATX,0.851063829787234,0.1783783783783784,0.0,,plus,False,530
Thermaltake Toughpower XT,,ATX,0.8723404255319148,0.3108108108108108,1.0,,bronze,Full,775
